,precision,recall,f1-score,support
0,0.3570391872278665,0.3554913294797688,0.3562635771180304,692.0
1,0.8513333333333334,0.8521855188521855,0.8517592129398033,2997.0
accuracy,0.7590132827324478,0.7590132827324478,0.7590132827324478,0.7590132827324478
macro avg,0.6041862602806,0.6038384241659771,0.6040113950289169,3689.0
weighted avg,0.7586113086369433,0.7590132827324478,0.7588118071418453,3689.0
