,precision,recall,f1-score,support
0,0.6038306451612904,0.865606936416185,0.7114014251781473,692.0
1,0.9655172413793104,0.8688688688688688,0.9146469968387777,2997.0
accuracy,0.8682569802114394,0.8682569802114394,0.8682569802114394,0.8682569802114394
macro avg,0.7846739432703004,0.867237902642527,0.8130242110084624,3689.0
weighted avg,0.8976703656452714,0.8682569802114394,0.8765212349550271,3689.0
